MF_LCVI_linearized1.0_0_expsquared_expsquared.csv:4937.0891370773315,utility_term_linearized,0,30000,3000,-100141.796875,1.0642908811569214,,,0.5355221629142761,0.6857386231422424,1.9898834228515625,,,0.5334940552711487,0.5822396278381348,0.008738311938941479,0.004629370290786028,0.15399964153766632,4.738007068634033,0.049569498747587204,0.0002668273518793285,6.910836696624756,1.6276724338531494
MF_LCVI_linearized1.0_10_expsquared_expsquared.csv:6059.174166917801,utility_term_linearized,10,30000,3000,-100272.3515625,1.072683334350586,,,0.5352845788002014,0.6869500875473022,1.9937607049942017,,,0.5331857204437256,0.5832148194313049,-0.009885091334581375,0.004627288784831762,-0.3855815827846527,4.727248191833496,0.0495462603867054,0.0002694478607736528,6.911679267883301,1.6057459115982056
MF_LCVI_linearized1.0_1_expsquared_expsquared.csv:6848.219555854797,utility_term_linearized,1,30000,3000,-100088.65625,1.0683867931365967,,,0.5358591079711914,0.6863616704940796,1.9692474603652954,,,0.5339373350143433,0.5844756960868835,-0.009600130841135979,0.00461313733831048,-0.2870446443557739,4.774728775024414,0.04919774830341339,0.0002695381408557296,6.878630638122559,1.6534123420715332
MF_LCVI_linearized1.0_2_expsquared_expsquared.csv:5642.736537694931,utility_term_linearized,2,30000,3000,-100222.9296875,1.071731448173523,,,0.5355508327484131,0.686330258846283,1.9626983404159546,,,0.5337041616439819,0.584669291973114,0.00924469344317913,0.0046123177744448185,0.4416085481643677,4.768101692199707,0.04934809356927872,0.0002768930862657726,6.873930931091309,1.6590375900268555
MF_LCVI_linearized1.0_3_expsquared_expsquared.csv:6994.252440690994,utility_term_linearized,3,30000,3000,-100129.328125,1.0714178085327148,,,0.5354055166244507,0.6871643662452698,1.9707624912261963,,,0.5334538817405701,0.5844931602478027,0.008796429261565208,0.00462411530315876,0.2765561640262604,4.751102447509766,0.04962179437279701,0.00026748180971480906,6.892102241516113,1.647355079650879
MF_LCVI_linearized1.0_4_expsquared_expsquared.csv:7845.780720949173,utility_term_linearized,4,30000,3000,-100109.0,1.0661487579345703,,,0.5356581211090088,0.6865501403808594,1.9748845100402832,,,0.5337460041046143,0.5849819779396057,-0.009129289537668228,0.004625692032277584,-0.24306650459766388,4.758148193359375,0.049213916063308716,0.00027077284175902605,6.898641586303711,1.6421937942504883
MF_LCVI_linearized1.0_5_expsquared_expsquared.csv:7822.936808586121,utility_term_linearized,5,30000,3000,-100001.5078125,1.0710134506225586,,,0.5353440642356873,0.6871641278266907,1.9882951974868774,,,0.5332951545715332,0.5835627317428589,-0.008933288976550102,0.004623570945113897,-0.2720254361629486,4.729873180389404,0.04960690066218376,0.0002740946365520358,6.916364669799805,1.60677969455719
MF_LCVI_linearized1.0_6_expsquared_expsquared.csv:8589.332421064377,utility_term_linearized,6,30000,3000,-99902.03125,1.0640919208526611,,,0.5355998873710632,0.6864031553268433,1.9939610958099365,,,0.5336297750473022,0.5838725566864014,0.009138558991253376,0.004621513653546572,0.31321796774864197,4.754251480102539,0.04950472712516785,0.0002730653795879334,6.897986888885498,1.6232683658599854
MF_LCVI_linearized1.0_7_expsquared_expsquared.csv:8586.216076612473,utility_term_linearized,7,30000,3000,-100314.8203125,1.0650055408477783,,,0.5354375243186951,0.6867022514343262,1.9854720830917358,,,0.5334765315055847,0.5836739540100098,0.008870407938957214,0.004622303880751133,0.14416401088237762,4.769104957580566,0.04971415549516678,0.00027408383903093636,6.88196325302124,1.6626715660095215
MF_LCVI_linearized1.0_8_expsquared_expsquared.csv:8436.334833145142,utility_term_linearized,8,30000,3000,-100154.9765625,1.0782809257507324,,,0.5353400707244873,0.6866961121559143,1.9847322702407837,,,0.5334727764129639,0.5840057730674744,-0.00920102745294571,0.0046215904876589775,-0.3225983679294586,4.750060081481934,0.049320340156555176,0.00027055517421104014,6.897637844085693,1.6307692527770996
MF_LCVI_linearized1.0_9_expsquared_expsquared.csv:6059.962847232819,utility_term_linearized,9,30000,3000,-100135.6328125,1.0712157487869263,,,0.5352280139923096,0.6880150437355042,1.9866212606430054,,,0.5333063006401062,0.58379065990448,-0.009085095487535,0.004630686715245247,-0.27394846081733704,4.734003067016602,0.04959335923194885,0.0002651867689564824,6.910741329193115,1.6201963424682617
MF_LCVI_linearized1.122586439155815_0_expsquared_expsquared.csv:5126.924019575119,utility_term_linearized,0,30000,3000,-100161.84375,1.0654897689819336,,,0.5367647409439087,0.684558629989624,1.9750916957855225,,,0.5347735285758972,0.5829741358757019,0.008746111765503883,0.004566134884953499,0.15709981322288513,4.750096797943115,0.049537159502506256,0.00026258034631609917,6.883225917816162,1.6731339693069458
MF_LCVI_linearized1.122586439155815_10_expsquared_expsquared.csv:6011.5711505413055,utility_term_linearized,10,30000,3000,-100301.921875,1.071344017982483,,,0.5364444255828857,0.6859359741210938,1.9808197021484375,,,0.5343932509422302,0.583675742149353,-0.009894669987261295,0.004564735572785139,-0.3858504295349121,4.72628927230835,0.04951350763440132,0.00026511584292165935,6.8958330154418945,1.6360095739364624
MF_LCVI_linearized1.122586439155815_1_expsquared_expsquared.csv:6925.829747200012,utility_term_linearized,1,30000,3000,-100133.84375,1.068115472793579,,,0.5370403528213501,0.6852208971977234,1.9577085971832275,,,0.5351568460464478,0.5848701000213623,-0.00961917545646429,0.0045506302267313,-0.289235919713974,4.7774224281311035,0.04917006939649582,0.00026520926621742547,6.8594651222229,1.686086654663086
